security code,security name,total income,net sales/revenue from operations,expenditure,net profit,year,quartile,eps
500002,"ABB India Limited,Active",14090.86,13775.48,-12130.75,1156.88,2007,3,5.46
500002,"ABB India Limited,Active",18901.61,18394.45,-15873.71,1807.88,2007,4,8.53
500002,"ABB India Limited,Active",15723.160000000002,15352.92,-13708.90,1176.93,2008,1,6.55
500002,"ABB India Limited,Active",16589.469999999998,16162.95,-14349.24,1318.10,2008,2,6.22
500002,"ABB India Limited,Active",31180.42,15562.22,-13935.11,1047.91,2008,3,4.95
500002,"ABB India Limited,Active",22170.06,22111.56,-19086.63,1931.20,2008,4,9.11
500002,"ABB India Limited,Active",14074.41,14060.50,-12768.68,783.57,2009,1,3.70
500002,"ABB India Limited,Active",15258.7,15148.48,-13894.24,836.08,2009,2,3.95
500002,"ABB India Limited,Active",14696.78,14689.30,-13441.16,830.64,2009,3,3.92
500002,"ABB India Limited,Active",19067.81,19016.14,-17465.80,1096.09,2009,4,5.17
500002,"ABB India Limited,Active",14771.02,14752.42,-14650.05,66.39,2010,1,0.31
500002,"ABB India Limited,Active",14685.56,14630.93,-14087.47,383.17,2010,2,1.81
500002,"ABB India Limited,Active",13523.769999999999,13489.76,-13270.83,115.07,2010,3,0.54
500002,"ABB India Limited,Active",20746.02,20720.17,-20541.78,67.67,2010,4,0.32
500002,"ABB India Limited,Active",18005.01,17959.62,-17087.59,595.46,2011,1,2.81
500002,"ABB India Limited,Active",17190.379999999997,17125.25,-16534.66,387.20,2011,2,1.83
500002,"ABB India Limited,Active",17473.0,17435.26,-17031.35,221.57,2011,3,1.05
500002,"ABB India Limited,Active",22012.23,21998.72,-21042.83,641.13,2011,4,3.03
500002,"ABB India Limited,Active",17921.7,17903.10,-17151.30,476.40,2012,1,
500002,"ABB India Limited,Active",18852.1,18837.90,-18009.30,516.30,2012,2,
500002,"ABB India Limited,Active",18095.6,18086.10,-17662.50,213.70,2012,3,
500002,"ABB India Limited,Active",20851.0,20822.80,-20402.80,167.70,2012,4,
500002,"ABB India Limited,Active",19714.0,19700.20,-18880.90,425.60,2013,1,
500002,"ABB India Limited,Active",17454.2,17416.40,-16585.80,403.40,2013,2,
500002,"ABB India Limited,Active",17868.2,17859.00,-17062.10,380.70,2013,3,
500002,"ABB India Limited,Active",22045.6,22038.70,-20814.10,585.90,2013,4,
500002,"ABB India Limited,Active",18288.399999999998,18277.10,-17294.00,516.80,2014,1,
500002,"ABB India Limited,Active",18225.9,18221.80,-17242.30,476.90,2014,2,2.25
500002,"ABB India Limited,Active",18460.2,18449.70,-17491.80,449.80,2014,3,2.12
500002,"ABB India Limited,Active",22531.0,22384.10,-20875.80,841.60,2014,4,3.97
500002,"ABB India Limited,Active",18152.899999999998,18145.70,-17132.00,542.90,2015,1,2.56
500002,"ABB India Limited,Active",19326.4,19316.20,-18190.80,574.50,2015,2,2.71
500002,"ABB India Limited,Active",19694.9,19689.70,-18491.30,587.40,2015,3,2.77
500002,"ABB India Limited,Active",24358.9,24251.10,-22061.50,1294.00,2015,4,
500002,"ABB India Limited,Active",20150.800000000003,20002.90,-18870.80,709.80,2016,1,
500002,"ABB India Limited,Active",21059.2,21015.20,-19671.40,774.20,2016,2,
500002,"ABB India Limited,Active",20915.7,20550.20,-19499.60,810.60,2016,3,
500002,"ABB India Limited,Active",25010.7,24915.40,-22484.90,1467.90,2016,4,
500002,"ABB India Limited,Active",23559.1,23188.10,-22061.90,881.70,2017,1,
500002,"ABB India Limited,Active",24588.8,23615.00,-22755.60,750.60,2017,2,
500002,"ABB India Limited,Active",19908.7,19153.70,-18353.10,833.90,2017,3,
500002,"ABB India Limited,Active",28170.0,27794.00,-25467.10,1715.20,2017,4,
500002,"ABB India Limited,Active",25793.0,25254.80,-23952.90,1024.90,2018,1,
500002,"ABB India Limited,Active",27598.3,27127.30,-25755.80,1021.50,2018,2,
500002,"ABB India Limited,Active",25980.9,25153.60,-23785.80,1083.40,2018,3,
500002,"ABB India Limited,Active",19982.8,19663.20,-17800.40,1979.10,2018,4,6.07
500002,"ABB India Limited,Active",18884.9,18502.50,-17306.80,1161.90,2019,1,4.20
500002,"ABB India Limited,Active",17664.9,17257.50,-16334.60,1304.00,2019,2,3.29
500002,"ABB India Limited,Active",17784.399999999998,17456.20,-16493.40,1352.80,2019,3,3.72
