security id,metric,n_neighbors,weights,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj,direction
500182,manhattan,74,uniform,0.01972119720137882,0.013867539013617439,0.0003889256190556718,-0.009685229100039772,0.49333333333333335
500209,manhattan,105,uniform,0.01909861591740618,0.013027037859992888,0.00036475712996060077,-0.02057255249122547,0.5061179087875417
500680,manhattan,104,uniform,0.017209039349486834,0.011848385240706728,0.00029615103533218626,-0.009638364868370664,0.5079545454545454
530965,euclidean,104,uniform,0.05603086191230558,0.018809512252910207,0.003139457486635856,0.002429142261662909,0.5050279329608939
532174,euclidean,88,uniform,0.13732133166470467,0.023119477419431315,0.01885714813016782,-0.002416233892614361,0.5133630289532294
532210,euclidean,103,uniform,0.023356483206457997,0.015630561834175643,0.0005455253077735544,-0.011094600985681158,0.533410138248848
532540,manhattan,96,distance,0.05332671349238551,0.015852190008295283,0.002843738371898971,-0.009404108488170193,0.5168269230769231
500325,manhattan,95,uniform,0.02102487061810871,0.014960456775878088,0.000442045184508211,-0.018112638652014068,0.48164627363737483
500112,manhattan,85,uniform,0.2926275525120353,0.027648599419369462,0.08563088448918398,-0.0005890931716339143,0.4821826280623608
500180,manhattan,100,uniform,0.03379812442312221,0.013468940163282405,0.00114231321452085,0.0020342932670571745,0.5128205128205128
507685,manhattan,102,uniform,0.04303051878213636,0.014908697315329891,0.0018516255466597899,-0.009343010021293452,0.49441964285714285
